product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country
Maxman U.S.A. America Vigra 1800mg Tablet,Tablet,Yellow,Triangle,HF,Sibutramine; Sildenafil,Tibetan Healthcare Association &quot;Xin Shengli&quot;,na
Mei Guo Lan Jing Ling (美国蓝精灵) (Green),Capsule,Green,Oblong,na,Sibutramine; Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),HongKong SAR
Mei Guo Lan Jing Ling (美国蓝精灵) (Red),Capsule,Red,Oblong,na,Sibutramine; Sildenafil,Xiang Gang Ai De Sheng Wu Ji Shu You Xian Gong Si (香港艾得生物技术有限公司),HongKong SAR
Mei Guo Xin Yi Dai ShenLiWeiGe 2800mg Capsule (美国新一代神力伟哥),Capsule,Blue; White,Oblong,na,Sildenafil; Tadalafil; Metronidazole,Xiang Gang Shen Long Bao Jian Pin Jin Chu Kou Gong Si (香港神龙保健品进出口公司),HongKong SAR
Mei Guo Zhan Shen Wai Yong Shen You (美国战神外用神油),Liquid (External Use),Brown,na,na,Lignocaine; Verapamil,Xi Zang Mei Long Bao Jian Pin You Xian Gong Si (西藏美龙保健品有限公司),China
Meng Hu Bei Zeng Capsule (猛虎倍增),Capsule,Red,Oblong,na,Sildenafil,na,na
Midnight Express Men Lasting Cologne,Liquid (External Use),Brown,na,na,Lignocaine,na,na
Migino Capsule (美人露),Capsule,Transparent,Oblong,na,Lignocaine,na,na
Miraculous Evil Root 1200mg Tablet (神奇魔根),Tablet,Yellow,Teardrop,C120,Sildenafil,Tibet jin wei long Health Medicine Co.; Ltd (西藏金威龙保健品有限公司),China
Miramax (增粗增大丸),Capsule,Gold,Oblong,na,Sildenafil,na,United States
MMC Mahman Capsules (Maxman 3000mg Capsules),Capsule & Pill,Black; White,Oblong & Round,艾力达生物,Phenolphthalein; Sibutramine; Sildenafil,Qinghai Province Xining City Ailida Biotechnology Co.; Ltd,China
Mo General (猛男魔根),Tablet,Beige,Teardrop,C50,Sildenafil; Dimethylphthalate,Xi Zang La Sa Shi Duo De Sheng Wu Zhi Pin Gong Si (西藏拉萨市多得生物制品公司),China
Montalin Jamu Pegal Linu Dan Asam Urat,Capsule,Red,Oblong,na,Paracetamol; Piroxicam,PJ. Air Madu Magelang,Indonesia
Mr Zack Powerbro Anda Lelaki Hebat,Capsule,Yellow,Oblong,na,Propoxyphenyl hydroxyhomosildenafil; Propoxyphenyl aildenafil; Propoxyphenyl thiohydroxyhomosildenafil; Propoxyphenyl thioaidenafil,na,Malaysia
Natural WeiNAGe (天然威哥),Capsule,Transparent,Oblong,na,AcetilNAacid; Acetildenafil; Carbodenafil,航天红外激光专科医院,na
new Max Man Three Effectiveness,Pill & Tablet,Black; Brown,Oblong,JIN YING,Sildenafil,Hong Kong Victoria Male Health Products Co.; Ltd,HongKong SAR
Obat Asam Urat Flu Tulang Super Untuk Pria Dan Wanita Capsule,Capsule,Maroon,Oblong,na,Dexamethasone; Diclofenac,na,na
Obat Kuat & Tahan Lama Khusus Pria Dewasa Maximal Capsule,Capsule,Red,Oblong,Super (on both parts of the capsule),Sildenafil,PJ. JAYA ABADI,Indonesia
Obat Tradisional Amrih Sehat Asam Urat Untuk Pria Dan Wanita Capsule,Capsule,Red; Yellow,Oblong,JAYA SAKTI,Dexamethasone; Paracetamol; Phenylbutazone,PJ. Amrih Sehat,Indonesia
OMAX Mutual Slimming Pills 0.3g (Day) (澳美斯超能燃脂素瘦身丸(日间装)),Capsule,White,Oblong,reduce weight,Phenolphthalein; Sibutramine,Fu Jian Shen Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China
OMAX Mutual Slimming Pills 0.3g (Night) (澳美斯超能燃脂素瘦身丸(夜间装)),Capsule,Blue,Oblong,Pearl white,Phenolphthalein; Sibutramine,Fu Jian Shen Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China
Oto Brand Qing Tian Zhu Capsule (Oto擎天柱牌健力胶囊),Capsule,Red,Oblong,健阳保健,Tadalafil,Shan Xi Jian Yang Yi Yao Bao Jian Pin You Xian Gong Si (陕西健阳医药保健品有限公司),na
Pai You Ji (吸油基),Capsule,Green,Oblong,na,Sildenafil; Ibuprofen,广州三合生物科技有限公司,China
Posh For Men Only Capsule (寳士情人秘膏),Liquid (External Use),Transparent,Oblong,na,Lignocaine,na,na
Power 1 Singapore Brand Chao Nong Suo Pian Weibawang 800mg (强劲威霸王五鞭粒),Tablet,Blue,Diamond,500mg,Sildenafil,Hai Kou Hong Da Yi Yao Bao Jian Pin Gong Si (海口宏大医药保健品公司),na
Power 1 Walnut 100mg Tablet (动力一号核桃素片) (Green),Tablet,Green,Oblong,P1SNA100,Sildenafil,广州新快力企业有限公司,China
Power 1 Walnut 500mg Tablet (动力一号核桃素片) (Blue),Tablet,Blue,Oblong,P1SNA100,Sildenafil,na,na
Power 1 Walnut 500mg Tablet (动力一号核桃素片) (Pink),Tablet,Pink,Oblong,P1SNA100,Glibenclamide; Sildenafil,na,na
Power V Extra Strong Tongkat Ali 500mg Kapsul,Capsule,Transparent,Oblong,na,Sildenafil,na,na
PowerNAPlus P Capsule (康乐宝),Capsule,Blue; White,Oblong,na,Tadalafil; Chloropretadalafil,na,na
PowerNAPlus S 485mg Capsule,Capsule,Green; White,Oblong,na,Sibutramine; Desmethylsibutramine,na,na
Qing Guo Su 0.35g Capsule (青果素韵美姿减肥胶囊),Capsule,Beige,Oblong,Thai characters,Phenolphthalein; Sibutramine,Xia Xi Yang Chun Tang Sheng Wu Yi Yao You Xian Gong Si (陜西养春堂生物医药有限公司),China
Qing Tian Zhu Tablets (擎天柱健力片剂),Tablet,Brown,Diamond,OTO,Hydroxythiohomosildenafil,Xiaxi Jianyang Yiyao Baojian Pin Gongsi (陜西健阳医药保健品有限公司),China
Red Cialis Viagra,Tablet,Brown,Teardrop,C200,Sildenafil,na,na
Red Spider 5ml (红蜘蛛女性口服液),Liquid (Internal Use),Transparent,na,na,Sildenafil; Vardenafil,Tibet Jin Kang Sheng Wu Gong Cheng Gong Si (西藏金康生物工程公司),China
Reduce Weight Fruta Planta (水果植物减肥胶囊),Capsule,Green; White,Oblong,na,Caffeine; Phenolphthalein; Sibutramine,Hainan Resurgence Natural Healthy Food Co.; Ltd (海南中兴天然健康食品有限公司),China
Revival for Men Only,Capsule,Transparent,Oblong,na,Tadalafil; NNAOctylNANortadalafil,na,na
Samsu Super Oil,Liquid (External Use),Brown,na,na,Lignocaine,PD Samsu,Indonesia
Santi Scalper Penis Erection 0.3g Capsule (三體牛鞭勃動力胶囊),Capsule,Blue; White,Oblong,勃动力 (Vigorous),Glibenclamide; Sibutramine; Sildenafil,An Hui San Ti Yi Yao Bao Jian Pin Gong Si (安徽三體醫藥保健品公司),China
Seki Sehat Pria Aprodisiak & Anti Impotensi Sami Aji Capsule,Capsule,Red,Oblong,na,Sildenafil,Kopja Aneka Sari JawaNATengah Indonesia,Indonesia
SendiNAPlus 250mg Capsule,Capsule,Black,Oblong,na,Dexamethasone; Piroxicam; Indomethacin,P.T. Rindu Alam,Indonesia
Sex Fairy Female Sexual Appetite Powder 3g (性精灵),Powder (Internal Use),White,na,na,Lignocaine,na,na
Shen Long Sheng Wu Brand Ding Chuan Tian 1200mg Capsule (神龙生物牌顶穿天),Capsule,Gold,Oblong,神龙生物,Sildenafil,Taiwan Shen Long Sheng Wu Bao Jian Pin Kai Fa You Xian Gong Si (台湾神龙生物保健品开发有限公司),Taiwan
Shen Wei Brand Tian Di Ying Xiong 2000mg Capsule (神威牌天地英雄),Capsule,Pink,Oblong,na,Sildenafil,Tibet Lhasa Shenwei BioNAengineering Co.; Ltd (西藏拉萨神威生物工程有限公司),China
Shen Wei Brand Yi Li Wang 2000mg Tablet (神威牌蚁力王),Tablet,Orange,Oval,Black God,Sildenafil,Xi Zang La Sa Shen Wei Sheng Wu Gong Cheng You Xian Gong Si (西藏拉萨神威生物工程有限公司),China
Sheng Jing Pian (生精片),Tablet,Black,Teardrop,TL,Sildenafil; Sulfosildenafil,na,na
Sheng Yang Brand Huang Di Sheng Dan 3g pill (升阳牌黄帝聖丹),Pill,Black,Round,na,Sildenafil,Xi Zang Sheng Yang Bao Jian Pin You Xian Gong Si (西藏升阳保健品有限公司),China
Sheng Yang Brand Qiang Shen Xiao Jin Wan 3g (升阳牌强肾小金丸),Pill,Black,Round,na,Sildenafil,Tibetan HealthNACare Association &quot;Sheng Yang&quot; (西藏升阳保健品有限公司),China
Sheng Yang Brand Super Penis 1800mg Capsule (升阳牌超级男根),Capsule,Gold,Oblong,na,Sildenafil,Shengyang HealthCare Corporation of Tibet (西藏升阳保健品有限公司),na
Sheng Yang Brand Yi Li OK Capsule (升阳牌一粒OK),Capsule,Gold,Oblong,升阳胶囊,Sildenafil,na,na
Sheng Yang Brand Zhong Hua Niu Bian 800mg Tablet (升阳牌中华牛鞭),Tablet,Yellow,Teardrop,C80,Lignocaine; Sildenafil,Tibet Shengyang Health Medicine Co.; Ltd (西藏升阳保健品有限公司),China
Sheng Yang Brand Zhuang Gen Ying Da Wang 800mg Tablet (升阳牌壯根硬大王),Tablet,Yellow,Teardrop,C80,Sildenafil,Tibet Shengyang Health Medicine Co.; Ltd (西藏升阳保健品有限公司),China
Sheng Yuan Brand Zang Niu Bian Huo Li Jiao Nang 800mg (圣源牌藏牛鞭活力胶囊),Capsule,Maroon,Oblong,na,Phenolphthalein; Sibutramine; Sildenafil,Xi Zang Sheng Yuan Sheng Wu Bao Jian Pin Gong Si (西藏圣源生物保健品公司),China
Shenwei Brand Maxman Tablets 3800mg (神威牌 MaxMan 3800mg),Tablet,Blue,Round,&quot;Good&quot; on one side and a picture of a wolf&#39;s head on the other side,Sibutramine; Sildenafil,美国百家乐生物技术有限公司; 西藏神威健康药业国际集团(香港)发展有限公司联合制造,na
Shenwei Brand San Bian Shen Li Wan 3800mg (神威牌三鞭神力丸3800mg),Tablet,Blue,Round,&quot;Good&quot; on one side and a picture of a wolf&#39;s head on the other side,Sibutramine; Sildenafil,美国百家乐生物技术有限公司; 西藏神威健康药业国际集团(香港)发展有限公司联合制造,na
Shou Fu Ti Tun Jian Fei Jiao Nang (收腹提臀减肥胶囊),Capsule,Green; White,Oblong,na,Phenolphthalein; Sibutramine,Guangzhou Tengda Health CareProduct Technology Development Co.; Ltd (广州腾达生物科技有限公司出品),China
Sin Gang San Langsing Ayu Kapsul Arma,Capsule,Orange,Oblong,na,Sibutramine; Fenfluramine,PJ. Warisan Jaya,Indonesia
Skinny22 Whitening & Slimming Capsule,Capsule,Pink,Oblong,na,Phenolphthalein; Fluoxetine,na,Switzerland
Sliming Essence 500mg Capsule (火速消脂精華膠囊),Capsule,Maroon,Oblong,na,Sibutramine,Guang Zhou Shi Bao Jian Yuan Sheng Wu Ke Ji You Xian Gong Si (广州市保健园生物科技有限公司),China
SNE AMBERINE Capsules (瘦美精华),Capsule,Transparent,Oblong,na,Sibutramine; Metformin,Nature&#39;s Grace Medicine Sdn Bhd,Malaysia
Spanish Fly 10ml Liquid,Liquid (Internal Use),na,na,na,Tadalafil,na,na
Sparta X,Capsule,Brown,Oblong,na,Hydroxythiohomosildenafil; Hydroxyhomosildenafil,na,Indonesia
SNAShape II 0.3g Capsule (瘦身の语 III),Capsule,Pink,Oblong,na,Sibutramine,Fu Jian Sheng Xing Fu Sheng Wu Ke Ji You Xian Gong Si (福建省幸福生物科技有限公司),China
STARKRx Performance Enhancer /StarkNARx /Maximum Strength Sexual Enhancer,Capsule,Blue; White,Oblong,na,Sildenafil,na,na
Stree Overlord 4800mg Capsule (街头霸王),Capsule,Orange,Oblong,Tian Bao (天宝),Sildenafil,Japanese Mayo Kaisha Pharmacy Export Ltd (日本岗本株式会社制药出口有限公司),na
Stree Overlord Exceed Vigra and Cialis,Pill & Tablet,Black; Yellow,Oval,na,Sildenafil,na,China
Strong Boy,Tablet,Brown,Round,USA on one side / PA NT HE R on the other side,Sildenafil,na,United States
Sunny Brand Zang Wang Xiong Ying Capsule (陽光牌藏王雄鹰),Capsule,Blue,Oblong,na,Sildenafil; Tadalafil,Tibet Yuthog Healthy Product Co.; Ltd (中国西藏宇拓健康品有限公司),na
Super Fat Burning Bomb (仟佳俪左旋肉碱减肥胶嚢),Capsule,Green,Oblong,na,Sildenafil; Diclofenac; Piroxicam; Ibuprofen,博美(香港)集团有限公司和赤峰御鹿生物技术有限公司,China
Super Max Man,Capsule,Green,Oblong,龙邦生物,Sildenafil; Paracetamol,Sheen (USA) International Medical Group,United States
Super Power Pills 1800 mg Tablet (力加力),Tablet,Red,Hexagon,SUPER,Sildenafil,Tibet Lhasa Kangwei Biology Corporation (西藏拉萨康威保健品有限公司),China
SuperNASlim Capsule (减肥果绿色瘦身胶囊),Capsule,Green; White,Oblong,na,Phenolphthalein; Sibutramine,na,na
Tablet Kuat Dan Tahan Lama Khusus Untuk Pria Dewasa 5x Lebih Dahsyat,Tablet,Grey,Round,na,Chlorpheniramine; Diclofenac; Piroxicam,PJ. Singa Laut,na
Tai He Tang Brand Mei Guo Zhan Shen 1800mg Tablet (太和堂牌美国战神),Tablet,Brown,Oblong,Viger,Sildenafil,Xiang Gang Tai He Tang Sheng Wu Gong Cheng You Xian Gong Si (香港太和堂生物工程有限公司),HongKong SAR
Tanduk Rusa Kuat Lelaki Approdisiak & Anti Impotensi 500mg Kapsul,Capsule,Maroon,Oblong,na,Sildenafil,PJ. Multi Sari Manjur Banjarmasin; Kalsel,Indonesia
Teng Huang Guo Shou Shen Jin Fu 0.3g Capsule (藤黄果瘦身紧肤胶囊),Capsule,Orange; White,Oblong,na,Sibutramine; Active Principles of Thyroid Gland,Han Guo  Fu Shan Shi Jian Zhi Mei Zhu Shi Hui She (韩国釜山市健之美株式会社),China
Tian Di Ying Xiong 1200mg Capsule (天地英雄),Capsule,Orange; White,Oblong,na,Sildenafil,Xi La Sa Shi Ju Long Sheng Wu Ji Shu You Xian Gong  Si (西拉萨市巨龙生物技术有限公司),China
Tian Long Brand Da Di Yong Shi Sheng Jing Pian 2000mg (天龙牌大地勇士生精片),Tablet,Brown,Teardrop,TL,Sildenafil,Hong Kong Tianlong Organisms Technology (International) Group Company (香港天龙生物科技(国际)集团公司),HongKong SAR
Tian Long Brand Di Liu Dai Zhuang Gen Jing Hua Su Sheng Jing Jiao Nang 5000mg (天龙牌第六代壯根精华素生精胶囊),Capsule,Red,Oblong,天龙制造,Sildenafil; Tadalafil,na,na
Tian Long Brand Di Wu Dai Zhuang Gen Jing Hua Su Sheng Jing Jiao Nang 2000mg (天龙牌第五代壯根精华素生精胶囊),Capsule,Red,Oblong,天龙制造,Sibutramine; Sildenafil; Tadalafil,na,na
Tian Long Brand Te Zhi Wu Ye Shen Sheng Jing Pian 2000mg Tablet (天龙牌特制五夜神生精片),Tablet,Yellow,Teardrop,TL,Sildenafil,na,na
Tian Long Brand Yi Li Bo Qian Jin Capsule (天龙牌一粒博千金),Capsule,Orange; White,Oblong,na,Sildenafil,na,na
Tianlong Brand Sheng Wu Gong Ting Sheng Bao 2000mg Capsules (天龙牌生物宫廷圣宝2000mg),Capsule,Blue,Oblong,天龙制造,Sildenafil; Tadalafil,西藏拉萨市天龙生物技术有限公司,na
Tianxiong Brand Ba Wang Long 3000mg Capsule (天雄牌霸王龙),Capsule,White,Oblong,天雄制造,Sibutramine; Sildenafil,Xiang Gang Tian Xiong Yi Yao Sheng Wu Ji Shu You Xian Gong Si (香港天雄医药生物技术有限公司),China
Tianxiong Brand Lion USA 8000mg Tablet (天雄牌美国雄狮),Tablet,Brown,Oblong,TX,Sildenafil,na,na
Tianxiong Brand Super Is Fierce Male 8000mg Capsule (天雄牌超级猛男),Capsule,White,Oblong,天雄制造,Sildenafil,Ethumax Pharmaceutical company Frankfurt Germany (香港天雄医药生物技术有限公司),na
Tianxiong Brand Zhuang Yang Wang 3000mg Capsule (天雄牌壯陽王),Capsule,White,Oblong,天雄制造,Sildenafil; Tadalafil,Xiang Gang Tian Xiong Yi Yao Sheng Wu Ji Shu You Xian Gong Si (香港天雄医药生物技术有限公司),China
Tong Le Tang Brand America Viagia 2000mg Tablet (同乐堂牌美国战神),Tablet,Brown,Oblong,Drawing of a dragon,Sildenafil; Vardenafil; Piperidenafil,Hai Nan Xin Bei Le Sheng Wu Ke Ji You Xian Gong Si (海南新贝乐生物科技有限公司),China
Top Jaya Sakti Gemuk Sehat Kapsul,Capsule,Black; Red,Oblong,JAYA SAKTI,Dexamethasone; Cyproheptadine,PJ. Amrih Sehat,Indonesia
Tosan Splay Daito,Liquid (Internal Use),Yellow,na,na,Lignocaine,na,na
Tuo Zhi LPA Jian Fei Mei Rong Pian (脱脂LPA减肥美容片),Tablet,Pink,Oval,LPA,Sibutramine; Desmethylsibutramine,na,na
Tusuk Jari Asam Urat Untuk Pria Dan Wanita Capsule,Capsule,Red; Beige,Oblong,Red NA AM JAYA MALANG; Beige NA TUSUK JARI,Dexamethasone; Diclofenac; Paracetamol,UD. AM Jaya,Indonesia
V12 Fruit Slimming ,Powder (Internal Use),na,na,na,Sibutramine,American bulgari pharmaceutical Co.; Ltd,Philippines
Vimax 700mg Capsule (增大丸),Capsule,Blue; White,Oblong,na,Sildenafil,na,na
Vitgo Oil,Liquid (External Use),Brown,na,na,Lignocaine,na,United States
VPXL 500mg Capsule (White),Capsule,White,Oblong,na,Sibutramine; Sildenafil; Tadalafil,na,na
VTOX Trim Up Weight Loss Program (威特尔健美奇天然褐藻素),Powder (Internal Use),na,na,na,Sibutramine,Zinnia Global Sdn. Bhd.,Malaysia
Wake Spray (金刚壹號),Spray,na,na,na,Lignocaine,na,na
Wei Ge 99 2800mg Capsule (偉哥99),Capsule,Blue; White,Oblong,力龙生物,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China
Xi Zang La Sa 500mg Tablet (西藏拉萨),Tablet,Blue,Oblong,500mg,Sildenafil,na,na
Xiang Shou Shou Shen Guo Shu Xian Wei Capsule (享瘦™瘦身果蔬纤维),Capsule,Blue; Green; White,Oblong,na,Phenolphthalein; Sibutramine; Active Principles of Thyroid Gland,Shan Xi Cao Ze Tang Sheng Wu Gong Cheng You Xian Gong Si ( 山西草泽堂生物工程有限公司) & Cheng Du He Ji Yang Sen Lui Se Sheng Wu Ji Shu You Xian Gong Si (成都和记杨森绿色生物技术有限公司),China
XiangYing (享硬瑪卡濃缩片),Tablet,Yellow,Oblong,maca on one side and 享硬 on the other side,Sildenafil; Tadalafil,Jiashen Sheng Ji Gong Fang You Xian Gong Si (甲申生技工坊有限公司),Taiwan
Xin Yi Dai San Ti Niu Bian Bo Dong Li Jiao Nang 0.3g (新一代三體牛鞭勃動力膠囊),Capsule,Blue; White,Oblong,勃动力 (Vigorous),Sildenafil,An Hui San Ti Yi Yao Bao Jian Pin Gong Si (安徽三體醫藥保健品公司),China
Xing Ba Wang Capsule (性霸王),Capsule,Green,Oblong,力龙生物,Sildenafil,na,na
Xinyuan Brand Zang Mi Shen Wei 1280mg Capsule (鑫源牌藏秘神威）,Capsule,Green,Oblong,na,Sildenafil,Xi Zang Xin Yuan Sheng Wu Gong Cheng You Xian Gong Si (西藏鑫源生物工程有限公司）,China
XP Tongkat Ali Supreme For Men 500mg Capsule,Capsule,Beige,Oblong,na,Tadalafil,na,na
Ye Tai Yang Jiao Nang 1800mg (野太陽胶囊),Capsule,Red; Beige,Oblong,na,Sildenafil,Xi Zang Jiu Chong Tian Sheng Wu Ke Ji You Xian Gong Si (西藏九重天生物科技有限公司),China
Yi Li Shen Huichunruyi Jiaonang 0.25g (1力神回春如意胶囊),Capsule,Black; Red,Oblong,na,Sildenafil,Shan Xi Sheng Tian Xing Sheng Hua Zhi Yao You Xian Gong Si (山西省天星生化制药有限公司),na
Yi Li Ting Capsule (一粒挺),Capsule,Blue; White,Oblong,na,Sildenafil,na,na
Yin De Kuai 2280mg Capsule (硬得快),Capsule,Red; Yellow,Oblong,na,Sildenafil,Xi Zang La Sa Shi Shen Li Bao Jian Pin You Xian Gong Si (西藏拉萨市神力保健品有限公司),China
Ying Xiong Sheng Li Pian 800mg Tablet (英雄生力片),Tablet,Blue,Irregular,na,Sildenafil,La Sa Shi Li Da Bao Jian Pin You Xian Gong Si (拉萨市力达保健品有限公司),China
YiZheng Brand Super Cialis 1600mg Tablet (一正超级西力士),Tablet,Yellow,Teardrop,C80,Sildenafil,Xiang Gang Yi Zheng Yao Ye Ji Tuan You Xian Gong Si (香港一正药业集团有限公司),HongKong SAR
You En Li Zi Y.D.L.Z Zuo Xuan Rou Jian Ju Jue Pian LNACarnitine (优恩丽姿Y.D.L.Z 左旋肉碱咀嚼片),Tablet,Brown,Oblong,na,Caffeine; Phenolphthalein; Sibutramine,na,na
Yu Mei Tang Shou Shen Jin Fu Xian Xian Jian Fei Jiao Nang 300mg (御美堂瘦身紧肤纤纤减肥胶囊(第三代加强型)),Capsule,Orange; White,Oblong,na,Sibutramine,Bao Ding Xian Mei Shi Ye You Xian Gong Si (保定纤美实业有限公司),China
Zang Jing Dan (藏精丹),Pill,Black,Round,na,Sildenafil,Xi Zang Chang Du Ri Tong Zang Yi Yao Yan Zhi Zhong Xin Zang Yao Chang (西藏昌都日通藏医药研制中心藏药厂),na
Zengcuzengda Yan Shi Pian 500mg Tablet (增粗增大延时片),Tablet,Blue,Oblong,500mg,Sildenafil,na,na
Zhen De Shou Fat Loss Capsule 250mg (神仙叶牌真得瘦清脂胶囊),Capsule,Green,Oblong,na,Phenolphthalein; Sibutramine,Guang Zhou Liu Zhi Mei Sheng Wu Ke Ji You Xian Gong Si & Guang Zhou Bo Mei Sheng Wu Bao Jian Pin You Xian Gong Si (广州柳之美生物科技有限公司 & 广州博美生物保健品有限公司),na
ZhengHao Brand King of Postponing Spray (延时王),Spray,na,na,na,Lignocaine; Sildenafil,Shi Jia Zhuang Zheng Tian Technology and Development  Graduate School (石家庄正天科技开发研究所),na
